BPE 2016 - Base permanente des équipements : commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 11/07/2016       Géographie au 01/01/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Source(s) : Insee, Base permanente des équipements 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code IRIS,Libellé IRIS,COM,Libellé commune ou ARM,Région,Département,Hypermarché,Supermarché,Grande surface de bricolage,Supérette,Epicerie,Boulangerie,Boucherie charcuterie,Produits surgelés,Poissonnerie,Librairie papeterie journaux,Magasin de vêtements,Magasin d'équipements du foyer,Magasin de chaussures,Magasin d'électroménager et de matériel audio-vidéo,Magasin de meubles,Magasin d'articles de sports et de loisirs,Magasin de revêtements murs et sols,Droguerie quincaillerie bricolage,Parfumerie,Horlogerie Bijouterie,Fleuriste,Magasin d'optique,Magasin de matériel médical et orthopédique,Station service
IRIS,LIB_IRIS,COM,LIB_COM,REG,DEP,NB_B101,NB_B102,NB_B103,NB_B201,NB_B202,NB_B203,NB_B204,NB_B205,NB_B206,NB_B301,NB_B302,NB_B303,NB_B304,NB_B305,NB_B306,NB_B307,NB_B308,NB_B309,NB_B310,NB_B311,NB_B312,NB_B313,NB_B315,NB_B316
027380401,Fargniers,02738,Tergnier,32,02,0,1,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0
02738ZZZZ,Non localisé à l'iris,02738,Tergnier,32,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
028100102,Avenue de Compiegne,02810,Villers-Cotterêts,32,02,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
028100202,Chateau,02810,Villers-Cotterêts,32,02,0,0,0,0,2,4,2,0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,0,0
028100302,Pisseleux,02810,Villers-Cotterêts,32,02,1,2,2,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,2,0,0,0
028100401,Vivieres,02810,Villers-Cotterêts,32,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02810ZZZZ,Non localisé à l'iris,02810,Villers-Cotterêts,32,02,0,0,0,0,2,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,1,5
030950101,Centre Historique,03095,Cusset,84,03,0,1,0,1,0,5,4,0,1,3,6,2,1,1,0,1,0,1,0,2,3,4,3,0
030950102,Montbeton-Les Joncheres,03095,Cusset,84,03,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
030950103,Presles-Puybesseau,03095,Cusset,84,03,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
030950105,Champcourt-Zone Industrielle,03095,Cusset,84,03,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
030950106,Zone Verte,03095,Cusset,84,03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
